,index,id,lat,lon,area,geometry,zone
49,53,SE2 18,66.74278157142858,20.08045757142857,SE,POINT (20.08045757142857 66.74278157142858),SE1
50,54,SE2 19,65.50954662864841,15.7213899202668,SE,POINT (15.7213899202668 65.50954662864841),SE2
51,55,SE2 2,65.67851366666666,21.965789666666662,SE,POINT (21.965789666666666 65.67851366666666),SE1
52,56,SE2 20,57.409089833333326,12.667465166666668,SE,POINT (12.667465166666668 57.409089833333326),SE3
53,57,SE2 21,58.0303985,14.359817499999998,SE,POINT (14.359817499999998 58.030398500000004),SE3
54,58,SE2 3,58.917073125,15.564193875,SE,POINT (15.564193874999999 58.917073125),SE3
55,59,SE2 4,67.551535,18.1796265,SE,POINT (18.179626499999998 67.551535),SE1
56,60,SE2 5,59.424672,16.8511048,SE,POINT (16.8511048 59.424672),SE3
57,61,SE2 6,63.347806,13.221588000000002,SE,POINT (13.221588000000002 63.347806),SE2
58,62,SE2 7,58.169027216137614,12.096666571428573,SE,POINT (12.096666571428571 58.169027216137614),SE3
59,63,SE2 8,62.7911688,14.839782599999998,SE,POINT (14.839782599999998 62.7911688),SE2
60,64,SE2 9,64.450728,19.03610233333333,SE,POINT (19.036102333333332 64.450728),SE2
61,65,DK_hub,56.25,6.4,DK,,
62,66,GB,54.086304,-0.388941,GB,,
63,67,DE,52.338534,9.730698,DE,,
64,68,NL,53.410419,6.777461,NL,,
65,69,NO_hub,56.6836,3.7567,NO,,
